run,freq_Hz,period_s,idd_A,,,,
217,6.06E+06,1.65E-07,0.000129945,,,,
218,,,,,0,0,0
219,7.08E+06,1.41E-07,0.000127743,,,,
220,5.25E+06,1.91E-07,0.000122913,,,,
221,4.63E+06,2.16E-07,0.000135198,,,,
222,5.13E+06,1.95E-07,0.000124837,,,,
223,6.45E+06,1.55E-07,0.000130043,,,,
224,5.80E+06,1.72E-07,0.000122693,,,,
225,6.41E+06,1.56E-07,0.000129451,,,,
226,6.87E+06,1.46E-07,0.000132181,,,,
227,6.24E+06,1.60E-07,0.000126344,,,,
228,5.81E+06,1.72E-07,0.000125816,,,,
229,5.74E+06,1.74E-07,0.000127215,,,,
230,6.01E+06,1.66E-07,0.000129524,,,,
231,6.43E+06,1.55E-07,0.00012523,,,,
232,5.27E+06,1.90E-07,0.000127662,,,,
233,5.40E+06,1.85E-07,0.000131098,,,,
234,6.34E+06,1.58E-07,0.000121288,,,,
235,6.43E+06,1.56E-07,0.000130511,,,,
236,6.41E+06,1.56E-07,0.000132317,,,,
237,5.72E+06,1.75E-07,0.000132877,,,,
238,4.09E+06,2.44E-07,0.00012425,,,,
239,5.63E+06,1.77E-07,0.000127564,,,,
240,7.37E+06,1.36E-07,0.000132174,,,,
241,5.75E+06,1.74E-07,0.000125136,,,,
242,6.01E+06,1.66E-07,0.00012883,,,,
243,4.94E+06,2.03E-07,0.000119434,,,,
244,6.02E+06,1.66E-07,0.00012714,,,,
245,5.11E+06,1.96E-07,0.000127784,,,,
246,5.39E+06,1.86E-07,0.000127495,,,,
247,5.63E+06,1.78E-07,0.000134319,,,,
248,5.76E+06,1.74E-07,0.00013106,,,,
249,6.63E+06,1.51E-07,0.000129151,,,,
250,5.86E+06,1.71E-07,0.000127268,,,,
251,6.27E+06,1.59E-07,0.00013098,,,,
252,5.87E+06,1.70E-07,0.000129338,,,,
253,5.54E+06,1.80E-07,0.000131697,,,,
254,5.99E+06,1.67E-07,0.0001223,,,,
255,5.64E+06,1.77E-07,0.000128008,,,,
256,5.17E+06,1.93E-07,0.000125935,,,,
257,6.64E+06,1.51E-07,0.000129734,,,,
258,5.87E+06,1.70E-07,0.000132555,,,,
259,6.10E+06,1.64E-07,0.000134373,,,,
260,6.21E+06,1.61E-07,0.000130998,,,,
261,5.46E+06,1.83E-07,0.000126828,,,,
262,5.25E+06,1.90E-07,0.000127389,,,,
263,5.83E+06,1.71E-07,0.000124314,,,,
264,5.12E+06,1.95E-07,0.000128247,,,,
265,5.77E+06,1.73E-07,0.000135871,,,,
266,5.05E+06,1.98E-07,0.000126612,,,,
267,6.46E+06,1.55E-07,0.000128152,,,,
268,5.97E+06,1.67E-07,0.000126397,,,,
269,5.47E+06,1.83E-07,0.000127278,,,,
270,6.10E+06,1.64E-07,0.000131902,,,,
271,6.09E+06,1.64E-07,0.000130083,,,,
272,6.16E+06,1.62E-07,0.000129672,,,,
273,5.80E+06,1.73E-07,0.000129827,,,,
274,5.94E+06,1.68E-07,0.000133348,,,,
275,5.45E+06,1.84E-07,0.000123463,,,,
