run,freq_Hz,period_s,idd_A
74,5.54E+06,1.81E-07,3.16E-05
75,6.11E+06,1.64E-07,3.18E-05
76,5.45E+06,1.84E-07,2.95E-05
77,5.34E+06,1.87E-07,2.99E-05
78,5.92E+06,1.69E-07,3.03E-05
79,6.61E+06,1.51E-07,2.95E-05
80,6.44E+06,1.55E-07,2.83E-05
81,5.67E+06,1.76E-07,2.97E-05
82,6.20E+06,1.61E-07,2.89E-05
83,5.94E+06,1.68E-07,3.22E-05
84,6.14E+06,1.63E-07,3.14E-05
85,6.66E+06,1.50E-07,3.19E-05
86,6.20E+06,1.61E-07,3.00E-05
87,5.02E+06,1.99E-07,3.23E-05
88,5.01E+06,2.00E-07,3.04E-05
89,6.08E+06,1.64E-07,3.07E-05
90,6.55E+06,1.53E-07,3.17E-05
91,5.48E+06,1.82E-07,2.95E-05
92,5.92E+06,1.69E-07,2.91E-05
93,5.48E+06,1.82E-07,3.17E-05
94,6.37E+06,1.57E-07,2.95E-05
95,5.76E+06,1.73E-07,2.96E-05
96,5.80E+06,1.72E-07,2.94E-05
97,5.21E+06,1.92E-07,2.87E-05
98,4.85E+06,2.06E-07,3.04E-05
99,5.70E+06,1.75E-07,3.00E-05
100,6.05E+06,1.65E-07,3.22E-05
101,5.02E+06,1.99E-07,2.66E-05
102,6.25E+06,1.60E-07,2.96E-05
103,6.19E+06,1.61E-07,3.10E-05
104,6.02E+06,1.66E-07,3.16E-05
105,6.34E+06,1.58E-07,3.23E-05
106,6.29E+06,1.59E-07,2.88E-05
107,5.45E+06,1.83E-07,2.82E-05
108,5.89E+06,1.70E-07,2.88E-05
109,5.87E+06,1.70E-07,2.77E-05
110,5.36E+06,1.86E-07,2.98E-05
111,5.65E+06,1.77E-07,2.89E-05
112,6.23E+06,1.61E-07,3.14E-05
113,5.44E+06,1.84E-07,2.96E-05
114,6.33E+06,1.58E-07,3.06E-05
115,6.26E+06,1.60E-07,3.00E-05
116,6.37E+06,1.57E-07,3.10E-05
117,6.31E+06,1.59E-07,2.99E-05
118,5.68E+06,1.76E-07,2.83E-05
119,5.59E+06,1.79E-07,3.17E-05
120,6.12E+06,1.63E-07,3.07E-05
121,6.53E+06,1.53E-07,3.07E-05
122,6.26E+06,1.60E-07,3.16E-05
123,6.12E+06,1.63E-07,2.95E-05
124,5.08E+06,1.97E-07,3.00E-05
125,6.59E+06,1.52E-07,3.19E-05
126,6.55E+06,1.53E-07,3.21E-05
127,5.85E+06,1.71E-07,2.94E-05
128,5.78E+06,1.73E-07,3.21E-05
129,4.84E+06,2.07E-07,2.86E-05
130,5.74E+06,1.74E-07,2.86E-05
131,5.90E+06,1.70E-07,3.02E-05
132,6.73E+06,1.49E-07,3.15E-05
133,5.97E+06,1.67E-07,3.06E-05
134,6.17E+06,1.62E-07,3.06E-05
135,5.95E+06,1.68E-07,3.10E-05
136,6.40E+06,1.56E-07,3.09E-05
137,5.91E+06,1.69E-07,2.90E-05
138,6.31E+06,1.58E-07,2.82E-05
139,5.84E+06,1.71E-07,2.94E-05
140,5.76E+06,1.74E-07,2.97E-05
141,6.89E+06,1.45E-07,3.21E-05
142,6.10E+06,1.64E-07,3.06E-05
143,6.37E+06,1.57E-07,3.10E-05
144,5.78E+06,1.73E-07,2.87E-05
145,5.65E+06,1.77E-07,3.18E-05
146,6.25E+06,1.60E-07,2.96E-05
147,6.25E+06,1.60E-07,3.19E-05
148,5.96E+06,1.68E-07,3.03E-05
149,6.05E+06,1.65E-07,3.06E-05
150,6.47E+06,1.55E-07,2.90E-05
151,5.54E+06,1.80E-07,3.08E-05
152,5.52E+06,1.81E-07,3.00E-05
153,6.20E+06,1.61E-07,2.87E-05
154,5.97E+06,1.67E-07,2.93E-05
155,5.54E+06,1.81E-07,2.99E-05
156,5.86E+06,1.71E-07,3.07E-05
157,5.65E+06,1.77E-07,2.78E-05
158,6.11E+06,1.64E-07,2.85E-05
159,5.90E+06,1.70E-07,3.01E-05
160,6.10E+06,1.64E-07,3.22E-05
161,3.59E+06,2.78E-07,2.97E-05
162,6.33E+06,1.58E-07,3.00E-05
163,6.14E+06,1.63E-07,2.89E-05
164,6.04E+06,1.65E-07,3.13E-05
165,5.64E+06,1.77E-07,3.07E-05
166,5.75E+06,1.74E-07,3.16E-05
167,5.81E+06,1.72E-07,2.69E-05
168,5.68E+06,1.76E-07,3.17E-05
169,5.86E+06,1.71E-07,3.18E-05
170,6.64E+06,1.51E-07,3.08E-05
171,6.30E+06,1.59E-07,3.11E-05
172,5.62E+06,1.78E-07,2.93E-05
173,5.65E+06,1.77E-07,2.94E-05
174,5.57E+06,1.80E-07,2.94E-05
175,5.60E+06,1.78E-07,3.07E-05
176,5.61E+06,1.78E-07,3.07E-05
177,6.66E+06,1.50E-07,2.90E-05
178,4.86E+06,2.06E-07,3.13E-05
179,5.81E+06,1.72E-07,3.01E-05
180,5.88E+06,1.70E-07,3.30E-05
181,6.08E+06,1.64E-07,2.76E-05
182,5.25E+06,1.91E-07,2.79E-05
183,5.62E+06,1.78E-07,2.91E-05
184,5.98E+06,1.67E-07,2.92E-05
185,6.46E+06,1.55E-07,3.08E-05
186,5.80E+06,1.73E-07,3.28E-05
187,6.34E+06,1.58E-07,2.90E-05
188,6.35E+06,1.57E-07,3.20E-05
189,6.43E+06,1.56E-07,3.26E-05
190,5.47E+06,1.83E-07,2.91E-05
191,5.83E+06,1.71E-07,3.15E-05
192,5.62E+06,1.78E-07,2.94E-05
